network,bank_name,bin_prefix,probability
MIR,Сбер,220000,0.45
MIR,ВТБ,220001,0.15
MIR,Тинькофф,220002,0.10
MIR,Альфа,220003,0.08
MIR,Газпромбанк,220004,0.06
MIR,Райффайзен,220005,0.05
MIR,Открытие,220006,0.04
MIR,Совкомбанк,220007,0.03
MIR,Промсвязьбанк,220008,0.02
MIR,Россельхозбанк,220009,0.02

VISA,Сбер,423000,0.22
VISA,Тинькофф,421000,0.18
VISA,Альфа,404000,0.14
VISA,ВТБ,410000,0.12
VISA,Райффайзен,427000,0.08
VISA,Газпромбанк,418000,0.06
VISA,Открытие,416000,0.05
VISA,Совкомбанк,432000,0.04
VISA,Промсвязьбанк,433000,0.04
VISA,Россельхозбанк,434000,0.03
VISA,ХоумКредит,435000,0.04

MASTERCARD,Сбер,519000,0.24
MASTERCARD,ВТБ,520000,0.14
MASTERCARD,Тинькофф,222100,0.16
MASTERCARD,Альфа,222200,0.12
MASTERCARD,Газпромбанк,222300,0.06
MASTERCARD,Райффайзен,222400,0.06
MASTERCARD,Открытие,222500,0.05
MASTERCARD,Совкомбанк,222600,0.05
MASTERCARD,Промсвязьбанк,222700,0.04
MASTERCARD,Россельхозбанк,222800,0.03
MASTERCARD,ХоумКредит,222900,0.05

