brand_id,brand_name,category_id,brand_factor
b001,Harry's,CAT001,1.037
b002,Wonder Bread,CAT001,0.923
b003,Nature’s Own,CAT001,0.982
b004,Pepperidge Farm,CAT001,1.065
b005,Sara Lee,CAT001,0.956
b006,King’s Hawaiian,CAT001,1.078
b007,Dave’s Killer Bread,CAT001,0.912
b008,Oroweat,CAT001,1.044
b009,Arnold,CAT001,1.098
b010,Sunbeam,CAT001,0.934
b011,Простоквашино,CAT002,1.042
b012,Домик в деревне,CAT002,1.118
b013,Вкуснотеево,CAT002,1.187
b014,Савушкин продукт,CAT002,1.029
b015,Брест-Литовск,CAT002,0.972
b016,Коровка из Кореновки,CAT002,1.017
b017,Авида,CAT002,0.965
b018,Danone,CAT002,1.095
b019,Valio,CAT002,1.124
b020,Минская марка,CAT002,1.012
b021,Курочка Ряба,CAT003,1.012
b022,Окское Подворье,CAT003,0.987
b023,Просто Яйцо,CAT003,1.024
b024,Зеленая Долина,CAT003,1.036
b025,Петелинка,CAT003,1.058
b026,Роскар,CAT003,0.981
b027,Кинель-Агро,CAT003,1.045
b028,Волжанин,CAT003,1.017
b029,Мираторг,CAT003,1.072
b030,Благодарное Яйцо,CAT003,0.993
b031,Русский сахар,CAT004,1.012
b032,Чайкофский,CAT004,0.978
b033,Славянка,CAT004,0.995
b034,Мистраль,CAT004,1.034
b035,Агро-Альянс,CAT004,1.021
b036,Домашний,CAT004,0.982
b037,Сахарок,CAT004,1.008
b038,Просто сахар,CAT004,0.967
b039,Кристалл,CAT004,1.045
b040,Увелка,CAT004,1.026
b041,Экстра,CAT005,1.04
b042,Артемсоль,CAT005,1.01
b043,Илецкая,CAT005,1.08
b044,Славяновская соль,CAT005,1.02
b045,Морская соль Sanasol,CAT005,1.03
b046,Руссоль,CAT005,1.06
b047,Приправыч,CAT005,1.13
b048,Гималайская соль Himalaya Pink,CAT005,0.97
b049,Малдон (Maldon),CAT005,1.05
b050,Dr. IOD,CAT005,1.05
b051,Makfa,CAT006,0.938
b052,Barilla,CAT006,0.996
b053,De Cecco,CAT006,0.957
b054,Mistral,CAT006,0.944
b055,Shebekinskie,CAT006,0.981
b056,Granoro,CAT006,1.027
b057,Pasta Zara,CAT006,1.013
b058,Divella,CAT006,0.962
b059,Agro-Alliance,CAT006,0.986
b060,Petra,CAT006,0.978
b061,Мистраль,CAT007,1.042
b062,Националь,CAT007,0.978
b063,Увелка,CAT007,1.065
b064,Агро-Альянс,CAT007,1.031
b065,Красная цена,CAT007,0.952
b066,Ярмарка,CAT007,1.017
b067,Басмати Золотое зерно,CAT007,1.089
b068,Зернышко,CAT007,0.963
