category_id,category_name,store_types,base_price_min,base_price_max,unit,qty_min,qty_max,pick_weight
CAT001,Хлеб,продуктовый,30,120,pcs,1,3,0.05
CAT002,Молоко 1 л,продуктовый,60,140,l,1,3,0.045
CAT003,"Яйца, десяток",продуктовый,80,220,pack,1,2,0.045
CAT004,Сахар,продуктовый,60,120,kg,1,3,0.035
CAT005,Соль,продуктовый,20,60,kg,1,2,0.02
CAT006,Макароны,продуктовый,50,180,pack,1,4,0.04
CAT007,Рис,продуктовый,80,220,kg,1,3,0.03
CAT008,Гречка,продуктовый,90,240,kg,1,3,0.028
CAT009,Масло подсолнечное,продуктовый,120,300,l,1,2,0.03
CAT010,Сливочное масло,продуктовый,120,350,pack,1,2,0.022
CAT011,Сыр,продуктовый,400,1200,kg,1,2,0.018
CAT012,Колбаса варёная,продуктовый,250,700,kg,1,2,0.02
CAT013,Курица охлаждённая,продуктовый,180,450,kg,1,2,0.028
CAT014,Овощи свежие,продуктовый,60,280,kg,1,4,0.04
CAT015,Фрукты свежие,продуктовый,80,350,kg,1,4,0.04
CAT016,"Йогурт, 125 г",продуктовый,30,80,pcs,1,5,0.03
CAT017,Шоколад плиточный,продуктовый,70,250,pcs,1,3,0.025
CAT018,Минеральная вода 1.5 л,продуктовый,25,80,l,1,5,0.03
CAT019,Кофе молотый,продуктовый,250,900,pack,1,2,0.02
CAT020,Чай чёрный,продуктовый,120,500,pack,1,2,0.02
CAT021,Смартфоны,электроника,8000,180000,pcs,1,1,0.006
CAT022,Ноутбуки,электроника,20000,250000,pcs,1,1,0.004
CAT023,Планшеты,электроника,10000,160000,pcs,1,1,0.003
CAT024,Телевизоры,электроника,12000,300000,pcs,1,1,0.003
CAT025,Наушники,электроника,800,40000,pcs,1,2,0.01
CAT026,Игровые приставки,электроника,15000,50000,pcs,1,1,0.002
CAT027,Флеш‑накопители,электроника,300,2000,pcs,1,3,0.012
CAT028,Пауэрбанки,электроника,800,4000,pcs,1,2,0.01
CAT029,"Цемент, мешок 25 кг",стройматериалы,250,800,pack,1,4,0.006
CAT030,"Краска интерьерная, 10 л",стройматериалы,1200,6500,l,1,2,0.006
CAT031,Гипсокартон лист,стройматериалы,300,1200,pcs,1,6,0.004
CAT032,"Саморезы, упаковка",стройматериалы,80,450,pack,1,5,0.01
CAT033,"Ламинат, 1 упаковка",стройматериалы,900,4500,pack,1,4,0.004
CAT034,Пена монтажная,стройматериалы,200,900,pcs,1,3,0.007
CAT035,Кисти/валики,стройматериалы,100,900,pcs,1,3,0.007
CAT036,"Плиточный клей, 25 кг",стройматериалы,300,1200,pack,1,4,0.005
CAT037,Футболки,одежда,300,5000,pcs,1,3,0.012
CAT038,Джинсы,одежда,1200,12000,pcs,1,2,0.01
CAT039,Куртки,одежда,3000,35000,pcs,1,1,0.006
CAT040,"Носки, пара",одежда,50,600,pack,1,5,0.014
CAT041,Обувь повседневная,одежда,1500,25000,pcs,1,2,0.008
CAT042,Бельё нижнее,одежда,200,4000,pcs,1,3,0.01
CAT043,Свитеры/толстовки,одежда,800,10000,pcs,1,2,0.008
CAT044,Капюшоны/шапки,одежда,300,6000,pcs,1,2,0.008
CAT045,Гантели (1 шт.),спорттовары,600,5000,pcs,1,2,0.006
CAT046,Коврики для йоги,спорттовары,400,2000,pcs,1,2,0.008
CAT047,Мячи спортивные,спорттовары,500,10000,pcs,1,2,0.008
CAT048,Эспандеры/резинки,спорттовары,200,3500,pack,1,3,0.008
CAT049,Велосипеды,спорттовары,8000,120000,pcs,1,1,0.002
CAT050,Термобутылки/шейкеры,спорттовары,300,3000,pcs,1,3,0.01
