"store_id","store_name","lon","lat","work_open","work_close","store_type"
"1","Лента (Обводного канала, 118 к7)","30.30193","59.90715","00:00","23:59","продуктовый"
"2","Лента (ул. Савушкина, 112)","30.22618","59.98468","00:00","23:59","продуктовый"
"3","Лента (Лиговский пр., 283 лит А)","30.334032","59.897221","00:00","23:59","продуктовый"
"4","О'КЕЙ (пр. Энгельса, 154)","30.335774","60.059209","10:00","23:00","продуктовый"
"5","О'КЕЙ (пр. Большевиков, 10 к1)","30.480116","59.912035","10:00","23:00","продуктовый"
"6","О'КЕЙ (Московский пр., 137)","30.314673","59.881719","10:00","23:00","продуктовый"
"7","Перекрёсток (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","продуктовый"
"8","Перекрёсток (ТРЦ Охта Молл)","30.4171033","59.94017","10:00","22:00","продуктовый"
"9","ВкусВилл (ул. Олеко Дундича, 33)","30.421366","59.83319","08:00","23:00","продуктовый"
"10","Лента (МЕГА Парнас)","30.379722","60.091111","09:00","23:00","продуктовый"
"11","М.Видео (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","электроника"
"12","DNS (ТРК Лиговъ, Лиговский 153)","30.34812","59.91497","10:00","22:00","электроника"
"13","restore: (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","электроника"
"14","iStudio (ТРЦ Охта Молл)","30.4171033","59.94017","10:00","22:00","электроника"
"15","DNS (МЕГА Парнас)","30.380484","60.091347","10:00","22:00","электроника"
"16","Леруа Мерлен (Парнас)","30.346398","60.066312","08:00","22:00","стройматериалы"
"17","Петрович (Московское ш., 304)","30.486323","59.753591","08:00","22:00","стройматериалы"
"18","Петрович (пр. Энгельса, 157 лит А)","30.343957","60.062986","08:00","22:00","стройматериалы"
"19","Максидом (Дунайский пр., 64)","30.421667","59.845833","09:00","22:00","стройматериалы"
"20","Максидом (Богатырский пр., 15)","30.263889","60.001667","09:00","22:00","стройматериалы"
"21","O'STIN (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","одежда"
"22","ZARINA (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","одежда"
"23","Finn Flare (ТРЦ Охта Молл)","30.4171033","59.94017","10:00","22:00","одежда"
"24","Gloria Jeans (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","одежда"
"25","LC Waikiki (ТРЦ Охта Молл)","30.4171033","59.94017","10:00","22:00","одежда"
"26","Спортмастер (ТРЦ Галерея)","30.36064","59.92741","10:00","23:00","спорттовары"
"27","Спортмастер (ТРЦ Охта Молл)","30.4171033","59.94017","10:00","22:00","спорттовары"
"28","Спортмастер (МЕГА Парнас)","30.380484","60.091347","10:00","22:00","спорттовары"
"29","RUNLAB (Московский пр., 153)","30.316927","59.873826","11:00","20:00","спорттовары"
"30","Hockey Club (Российский пр., 6, стр.1)","30.4694","59.92403","10:00","21:00","спорттовары"
